YUNUS AAAAAAAAAAAAA GET /dashboard 304  - 2581.137 ms {} ::1
YUNUS AAAAAAAAAAAAA GET /dashboard 304  - 1193.656 ms {} ::1
YUNUS AAAAAAAAAAAAA GET /dashboard 200 39090 - 2906.440 ms {} ::1
YUNUS AAAAAAAAAAAAA GET /duyuru 404 20770 - 407.955 ms {} ::1
YUNUS AAAAAAAAAAAAA GET /kullanicilar/table 200 28493 - 467.931 ms {} ::1
YUNUS AAAAAAAAAAAAA GET /duyuru 302 56 - 16.193 ms {} ::1
YUNUS AAAAAAAAAAAAA GET /dashboard 304  - 2164.467 ms {} ::1
YUNUS AAAAAAAAAAAAA GET /duyuru 302 56 - 2.177 ms {} ::1
YUNUS AAAAAAAAAAAAA GET /dashboard 304  - 593.874 ms {} ::1
YUNUS AAAAAAAAAAAAA GET /duyuru 500 21753 - 2338.953 ms {} ::ffff:127.0.0.1
YUNUS AAAAAAAAAAAAA GET /duyuru 500 21753 - 508.886 ms {} ::1
YUNUS AAAAAAAAAAAAA GET /duyuru 500 21753 - 881.032 ms {} ::1
YUNUS AAAAAAAAAAAAA GET /duyuru 200 27299 - 328.383 ms {} ::1
YUNUS AAAAAAAAAAAAA GET /dashboard 304  - 406.554 ms {} ::1
YUNUS AAAAAAAAAAAAA GET /duyuru 200 27304 - 306.300 ms {} ::1
YUNUS AAAAAAAAAAAAA GET /dashboard 304  - 399.255 ms {} ::1
YUNUS AAAAAAAAAAAAA GET /duyuru 304  - 286.179 ms {} ::1
YUNUS AAAAAAAAAAAAA GET /duyuru 500 22356 - 813.125 ms {} ::1
YUNUS AAAAAAAAAAAAA GET /duyuru 200 28243 - 478.459 ms {} ::1
YUNUS AAAAAAAAAAAAA GET /duyuru 304  - 358.078 ms {} ::1
YUNUS AAAAAAAAAAAAA GET /duyuru 200 28788 - 371.107 ms {} ::1
YUNUS AAAAAAAAAAAAA GET /duyuru 200 28755 - 670.380 ms {} ::1
YUNUS AAAAAAAAAAAAA GET /duyuru 200 28719 - 419.775 ms {} ::1
YUNUS AAAAAAAAAAAAA GET /duyuru 200 28718 - 807.276 ms {} ::1
YUNUS AAAAAAAAAAAAA GET /duyuru 304  - 350.688 ms {} ::1
YUNUS AAAAAAAAAAAAA GET /duyuru 304  - 355.103 ms {} ::1
YUNUS AAAAAAAAAAAAA GET /duyuru 304  - 336.320 ms {} ::1
YUNUS AAAAAAAAAAAAA GET /duyuru 200 28902 - 323.228 ms {} ::1
YUNUS AAAAAAAAAAAAA GET /duyuru 200 29075 - 746.702 ms {} ::1
YUNUS AAAAAAAAAAAAA GET /duyuru 200 29249 - 419.924 ms {} ::1
YUNUS AAAAAAAAAAAAA GET /duyuru 200 29250 - 330.716 ms {} ::1
YUNUS AAAAAAAAAAAAA GET /duyuru 500 21111 - 2394.657 ms {} ::1
YUNUS AAAAAAAAAAAAA GET /duyuru 500 21187 - 452.790 ms {} ::1
YUNUS AAAAAAAAAAAAA GET /duyuru 500 21566 - 347.027 ms {} ::1
YUNUS AAAAAAAAAAAAA GET /duyuru 200 29624 - 490.333 ms {} ::1
YUNUS AAAAAAAAAAAAA POST /ajax/dyndata 200 80 - 38.311 ms {"kdata":{"where":{"id":"1"},"hash":"ffe9af116eae61048eaf2558ac20dfd8"}} ::1
YUNUS AAAAAAAAAAAAA GET /duyuru 200 29777 - 370.059 ms {} ::1
YUNUS AAAAAAAAAAAAA GET /duyuru 200 29803 - 366.113 ms {} ::1
YUNUS AAAAAAAAAAAAA GET /duyuru 200 29807 - 337.181 ms {} ::1
YUNUS AAAAAAAAAAAAA POST /ajax/dyndata 200 84 - 28.459 ms {"kdata":{"where":{"id":"3"},"hash":"9fcf2195842ff996634b44f327af677a"}} ::1
YUNUS AAAAAAAAAAAAA POST /ajax/dyndata 200 84 - 23.647 ms {"kdata":{"where":{"id":"5"},"hash":"9fcf2195842ff996634b44f327af677a"}} ::1
YUNUS AAAAAAAAAAAAA POST /ajax/dyndata 200 84 - 19.477 ms {"kdata":{"where":{"id":"6"},"hash":"9fcf2195842ff996634b44f327af677a"}} ::1
YUNUS AAAAAAAAAAAAA GET /duyuru 200 29820 - 331.408 ms {} ::1
YUNUS AAAAAAAAAAAAA POST /ajax/dyndata 200 84 - 17.035 ms {"kdata":{"where":{"id":"2"},"hash":"7f4acc260a376ae0ac350b9fd1bca9ff"}} ::1
YUNUS AAAAAAAAAAAAA GET /duyuru 200 29842 - 804.304 ms {} ::1
YUNUS AAAAAAAAAAAAA POST /ajax/dyndata 200 84 - 28.836 ms {"kdata":{"where":{"id":"1"},"hash":"b2081abd8b4c3799278614f9832c67b6"}} ::1
YUNUS AAAAAAAAAAAAA POST /ajax/dyndata 200 84 - 20.636 ms {"kdata":{"where":{"id":"6"},"hash":"b2081abd8b4c3799278614f9832c67b6"}} ::1
YUNUS AAAAAAAAAAAAA POST /ajax/dyndata 200 87 - 20.424 ms {"kdata":{"where":{"id":"7"},"hash":"b2081abd8b4c3799278614f9832c67b6"}} ::1
